station_name,latitude,longitude,missing_start_zip,missing_end_zip,zipcode
Broadway & W 32 St,40.7,-74,14007,13737,10001
Cooper Square & Astor Pl,40.7,-74,62815,59873,10003
William St & Pine St,40.7,-74,20940,20933,10005
Broadway & W 36 St,40.8,-74,26108,24982,10018
Broadway & W 37 St,40.8,-74,32273,31809,10018
Broadway & W 38 St,40.8,-74,39144,39448,10018
W 52 St & 6 Ave,40.8,-74,48828,54714,10019
Broadway & W 41 St,40.8,-74,69461,72968,10036
W 43 St & 6 Ave,40.8,-74,17682,18730,10036
South St & Gouverneur Ln,40.7,-74,43769,43034,10043
E 47 St & 1 Ave,40.8,-74,17988,18373,10075
Roebling St & N 4 St,40.7,-74,13617,13924,11211